id,학생 글,Sum score,Elo creativity,Elo depth,Elo coherence,Elo grammar,Creativity score,Depth score,Coherence score,Grammar mistake count,Answer,Plagiarism score,Story score,Best similarity ID,Best similarity score,without_stt_accuracy_score,without_stt_empty_score,without_stt_prosody_score,without_stt_toatal_score,with_stt_accuracy_score,with_stt_empty_score,with_stt_prosody_score,with_stt_toatal_score,transcribed
el533_9,"Do you like stories? I love stories. I am thrilled when I can be transported to a mind-blowing place and all the more so when I am the one who creates it. I believe stories shape the world we live in and connect the people we live with. I want to be a writer who writes those amazing stories. 
First, stories change the world. Every day, we dream of a better world. With the bold imagination of writers, anything can happen in the stories. We can glimpse an inconceivable world. Imagine a microchip in your brain that lets you finish homework in the blink of an eye or veggie patches on your cheek so that you can skip eating broccoli! I bet most of the ideas that appear in fiction will become reality. Isn’t it amazing?
Furthermore, stories connect people. Recently, I read a book called “Kay’s Marvellous Medicine” by Adam Kay. I couldn’t help but run to my mom and laugh with her whenever I came across hilarious sentences. I love to chat with anyone about the books I read. I think stories are the spaces where everyone can connect regardless of age, gender, or location. 
Inside me are all types of seeds. Some are big, glossy, and stripy. Some are bright, pungent, and noisy. Each seed holds its own story. Some fidgety stories wriggle inside the seed so hard that I have to let them free so that they can unfurl themselves. That’s how I cultivated a beautiful story garden. To all my soon-to-be readers, would you visit my lovely garden?
",100.0,1713.1016465429352,1605.667655828535,1172.3413617314718,1735.343895360737,11,10,5,0,"Do you like stories? I love stories. I am thrilled when I can be transported to a mind-blowing place and all the more so when I am the one who creates it. I believe stories shape the world we live in and connect the people we live with. I want to be a writer who writes those amazing stories. 
First, stories change the world. Every day, we dream of a better world. With the bold imagination of writers, anything can happen in the stories. We can glimpse an inconceivable world. Imagine a microchip in your brain that lets you finish homework in the blink of an eye or veggie patches on your cheek so that you can skip eating broccoli! I bet most of the ideas that appear in fiction will become reality. Isn’t it amazing?
Furthermore, stories connect people. Recently, I read a book called “Kay’s Marvellous Medicine” by Adam Kay. I couldn’t help but run to my mom and laugh with her whenever I came across hilarious sentences. I love to chat with anyone about the books I read. I think stories are the spaces where everyone can connect regardless of age, gender, or location. 
Inside me are all types of seeds. Some are big, glossy, and stripy. Some are bright, pungent, and noisy. Each seed holds its own story. Some fidgety stories wriggle inside the seed so hard that I have to let them free so that they can unfurl themselves. That’s how I cultivated a beautiful story garden. To all my soon-to-be readers, would you visit my lovely garden?
",LOW,30,el607_8,0.3530280790707552,93.96966014309764,93.14,92.73541666666664,93.28169226992144,95.43773323295063,93.14,93.26739130434784,93.94837484576615,"Do you like stories? I love stories. I'm thrilled when I can be transported to a mind blowing place, and all the more so when I'm the one who creates it. I believe stories shape the world we live in and connected the people we live with. I want to be a writer who writes those amazing stories. First, stories change the world. Every day we dream of a better world. With the bold imagination of writers, anything can happen in the stories. We can glimpse an inconceivable world. Imagine a microchip in your brain that lets you finish homework in the blink of an eye, or veggie patches on your cheek so that you can skip eating broccoli. I bet most of the ideas that I hear in fiction will become reality. Isn't it amazing? Furthermore, stories connected people. Recently, I read a book called Kate's Marvelous medicine by AtomK. I couldn't help but run to my mom and laugh with her whenever I came across hilarious sentences. I'd love to chat with anyone about the books I read. I think stories are the spaces where everyone can connected, regardless age, gender, or location. Inside me are all types of seeds. Some are big, glassy and strippy. Some are bright, pungent and noisy. each seed holds its own story. Some fidgety stories wruggle inside the seats so hard that I have to let them free so that they can unfurl themselves. That's how I cultured a beautiful story garden. To all my soon-to-be-Readers, would you visit my lovely garden?"
el680_9,"Hello, my name is Kim Seong-jun, a third grade at Taehwa elementary school. 
If you have immigrated or plan to go, why do you immigrate?
I would like to talk about the main cause of immigration in the 5 thousand years history of our country.
Wiman, the Chinese refugee to Gojoseon about 2400 years ago, is an early immigrant known in history books. 
Then at the end of Three Kingdoms period, the refugees of Goguryeo and Baekje collapsed by Shilla  migrated to China or Japan.  During the Goryeo Dynasty, the Khitan people who collapsed by Mongolia came to Goryeo. During the Imjin War from 1592 to 1598, many skilled-potters of Joseon were forced to move to Japan. And during the Japanese colonial period from 1910 to 1945, people moved to China or Russia to campaign for independence.
 Today, Korean immigrate for various reasons, such as business, overseas employment, studying abroad, marriage, or self-satisfaction. 
According to the history, I think that most of immigration was for the comfortable and rich life. I hope that Korea will become a safe and rich country where people from all over the world want to visit or to live. Thank you for listening.",85.49481112036644,1483.3417032750876,1619.412535585778,983.3175562620224,1358.8633577345258,11,10,4,4,"Hello, my name is Kim Seong-jun, a third grade at Taehwa elementary school. 
If you have immigrated or plan to go, why do you immigrate?
I would like to talk about the main cause of immigration in the 5 thousand years history of our country.
Wiman, the Chinese refugee to Gojoseon about 2400 years ago, is an early immigrant known in history books. 
Then at the end of Three Kingdoms period, the refugees of Goguryeo and Baekje collapsed by Shilla  migrated to China or Japan.  During the Goryeo Dynasty, the Khitan people who collapsed by Mongolia came to Goryeo. During the Imjin War from 1592 to 1598, many skilled-potters of Joseon were forced to move to Japan. And during the Japanese colonial period from 1910 to 1945, people moved to China or Russia to campaign for independence.
 Today, Korean immigrate for various reasons, such as business, overseas employment, studying abroad, marriage, or self-satisfaction. 
According to the history, I think that most of immigration was for the comfortable and rich life. I hope that Korea will become a safe and rich country where people from all over the world want to visit or to live. Thank you for listening.",LOW,0,el644_8,0.1840356956385864,89.52791718085837,98.98,86.9346153846154,91.8141775218246,93.00913547237076,98.98,89.61500000000001,93.86804515745692,"Hello, my name is 김성준, a 3rd grade at Toa Elementary School. If you have emigrated or plan to go, why do you emigrate? I would like to talk about the main causes of immigration in the 5,000 years history of our country. Why man the Chinese refugees to go to the sea about 2400 years ago isn't early immigrant known in history books. Then, at the end of the Three Kingdom period, the refuges of Goryeo and Bejie collapsed by Sylla, migrated to China or Japan. during the Goryeo Dynasty, the kind of people who collapsed by Mongolia came to Goryeo. during the 임진 war from 1592 to 1598. Many skill parts of 조시안 were forced to move to Japan. And during the Japanese colonial period from 1910 to 1925, people moved to China or Russia to compete for independence. Today, Korean emigrate for various reasons, such as business, overseas employment, studying about marriage or self-satisfiction. according to the history, I think that most of immigration was for the comfortable and rich life. I hope that Korea will become a safe and rich country where people from all over the world want to visit or to live. Thank you for listening."
el167_9,"                           To prevent starvation

Chase, who was Lincoln's treasury secretary, said, ""The rich never enter heaven, but the poor are already experiencing hell.""

Did you ever know how many people die because of starvation? I will tell you. Every five seconds, a child is dying due to hunger. Each day, 25,000 people, including more than 10,000 children, die from hunger and related causes.

The first reason why many people go hungry is because of the price of grain increasing due to climate changes. Climate changes are due to pollution. The second reason is that wealth is concentrated in developed countries. People in poor countries are bound to be exposed to hunger.

What can you do to prevent starvation? Pollution should be stopped. The easy thing we can do is to eat everything without leaving any food behind. You should be thankful for the food you have right now. We should donate for undevelopped countries such as Africa. One friendly letter to Africa will give them some water and bread. Don’t just think. Move into action. 

I’m trying my best to eat all of my food and I’m also giving donations every year. There are lots of things we can do. Let’s try our best to stop starvation. Thank you for listening.",79.40152722500201,1503.6534818472503,1479.300173603504,995.6270013825848,1399.577098035775,9,9,4,1,"                           To prevent starvation

Chase, who was Lincoln's treasury secretary, said, ""The rich never enter heaven, but the poor are already experiencing hell.""

Did you ever know how many people die because of starvation? I will tell you. Every five seconds, a child is dying due to hunger. Each day, 25,000 people, including more than 10,000 children, die from hunger and related causes.

The first reason why many people go hungry is because of the price of grain increasing due to climate changes. Climate changes are due to pollution. The second reason is that wealth is concentrated in developed countries. People in poor countries are bound to be exposed to hunger.

What can you do to prevent starvation? Pollution should be stopped. The easy thing we can do is to eat everything without leaving any food behind. You should be thankful for the food you have right now. We should donate for undevelopped countries such as Africa. One friendly letter to Africa will give them some water and bread. Don’t just think. Move into action. 

I’m trying my best to eat all of my food and I’m also giving donations every year. There are lots of things we can do. Let’s try our best to stop starvation. Thank you for listening.",LOW,0,el462_7,0.2040519538161185,89.09011442036075,85.98,89.23157894736843,88.10056445590972,89.02834001224093,85.98,88.46578947368423,87.8247098286417,"Chase, who was Linkin's treasure secretary, said the wish never happened, but the poor are already experiencing how. Did you ever know how many people die because of starvation? I will tell you. Every 5 second, a child is dying due to hungry. Every day, 25,000 people, including more than 10,000 children, die from hungry and related causes. The first reason why many people are hungry is because of the price of bread increasing due to climate changes. Climate Changes are due to pollution. The second reason is that while we're concentrated in developed countries, people in pool countries are about to be exposed to hungry. What can you do to prevent starvation? Pollution should be stopped. The easy thing we can do is to eat everything without leaving any food behind. You should be thankful for the food you have right now. We should donate for undevelop countries such as Africa. One friendly letter to Africa will give them some water and bread. Don't just think, move into action. I'm trying my best to eat all of my food and I'm also giving donations every year. There are lots of things we can do. Let's try our best to stop starvation. Thank you for listening."
el635_8,"  Hello, fellow explorers! My name is Irene, but please call me Pandarin today as I share pandastic adventure as a panda. I've always wanted to be a panda because they are cute and one of the most  beloved animals. So here comes my story, of myself, in my new pandastic body.  
  I am going to compete with the Giant Pandas in the annual Bamboo  Olympics.These games offer exciting glimpse into a panda's life.  
  First game is  a  race to see who can eat bamboo stalks the fastest. Then a triathlon that includes  swimming across the mountain streams, running through the forest and climbing  the trees to reach the top. Last, whoever slides down the hill and reaches the finish  line will be the winner.
  As the golden sun began to set, I curl up with my panda friends and drift  off to dreamland. Wishing we could spend more time with our panda friend Fubao.
 But that is the role of Panda Diplomacy and it will help us to protect endangered species. Maybe one day, we'll al become pandas together. Thanks  for listening and have a pandastic day.",78.35655053769014,1682.995161634282,1294.683695893043,1035.4868719034405,1216.1047226830276,10,7,4,5,"  Hello, fellow explorers! My name is Irene, but please call me Pandarin today as I share pandastic adventure as a panda. I've always wanted to be a panda because they are cute and one of the most  beloved animals. So here comes my story, of myself, in my new pandastic body.  
  I am going to compete with the Giant Pandas in the annual Bamboo  Olympics.These games offer exciting glimpse into a panda's life.  
  First game is  a  race to see who can eat bamboo stalks the fastest. Then a triathlon that includes  swimming across the mountain streams, running through the forest and climbing  the trees to reach the top. Last, whoever slides down the hill and reaches the finish  line will be the winner.
  As the golden sun began to set, I curl up with my panda friends and drift  off to dreamland. Wishing we could spend more time with our panda friend Fubao.
 But that is the role of Panda Diplomacy and it will help us to protect endangered species. Maybe one day, we'll al become pandas together. Thanks  for listening and have a pandastic day.",LOW,80,el454_9,0.1787620336788999,89.0386873684385,91.32,87.0576923076923,89.13879322537694,88.9080768216991,91.32,87.15,89.12602560723303,"Hello, fellow explorers! My name is Erin, but please call me a panda today, as I should pandaistic adventure as a panda. I've always wanted to be a panda, because they're cute and one of the most loved animals. So here comes my story of myself and my new pandaistic body. I'm going to compete with the giant pandas in the annual Bambu Olympics. These games offer exciting glimpses into a panda's life. First game is a race to see who can eat Bambu Star the fastest. Then a triathlon that includes swimming across the streams, running through the forest, and climbing the trees to the top. Last, who ever slides down the hill and reaches the finish line will be the winner. As the golden sun begin to set, I crew up with my 피아노 fans and drift off to Jimlund. Wishing we could spend more time with our panda friend Fubo, but that is a rule of panda diplomacy and it will help us to protect and dangerize animals. Maybe one day we'll all become pandas together. Thanks for listening and have a pandaistic day!"
el407_8,"The Olympic Games and World Peace

Hello everyone,

My name is Nayun, Kim and today I want to talk about how the Olympic Games can bring world peace.
The Olympics are more than just a sports event. They bring together people from all over the world-different countries, cultures, and backgrounds. Even though the athletes compete against each other, they also become friends. They learn to repect each other, no matter where they come from or what language they speak.
When the Olympics happen, the whole world watches. For a few weeks, we are all connected by the same excitement and joy. We cheer for our countries, but we also cheer for the spirit of sportsmanship. This spirit is about fairness, respect, and understanding. It shows us that we can live together in peace, even if we have differences.
The Olympic Games remind us that peace is possible. If athletes from different countries can come together in friendship, then maybe, just maybe, our world leaders can too.
Thank you.",75.37381419582319,1495.424331910961,1392.0872894469796,1051.6226757361042,1541.1583922249945,10,8,5,1,"The Olympic Games and World Peace

Hello everyone,

My name is Nayun, Kim and today I want to talk about how the Olympic Games can bring world peace.
The Olympics are more than just a sports event. They bring together people from all over the world-different countries, cultures, and backgrounds. Even though the athletes compete against each other, they also become friends. They learn to repect each other, no matter where they come from or what language they speak.
When the Olympics happen, the whole world watches. For a few weeks, we are all connected by the same excitement and joy. We cheer for our countries, but we also cheer for the spirit of sportsmanship. This spirit is about fairness, respect, and understanding. It shows us that we can live together in peace, even if we have differences.
The Olympic Games remind us that peace is possible. If athletes from different countries can come together in friendship, then maybe, just maybe, our world leaders can too.
Thank you.",LOW,0,el533_9,0.1843088749484293,80.74022108843538,86.87,79.25357142857143,82.28793083900227,82.09258365162255,86.87,79.17777777777778,82.7134538098001,"The Olympics are more than just a sports event. They bring together people from all over the world, different countries, cultures and background. Even though the athletes compete again against each other. They also become friends. They want to respect each other, no matter what language they speak. When the Olympics happens, the homework washes. For a few weeks, we are all connected by the same excitement and joy. We cheer for our country, but we also cheer for the speech of sportsmanship. This speech is about fairness, respect, An understanding. It shows us that we can live together in peace even if we have differences. The Olympic games remind us that peace is possible. If athletes from different countries can come together in friendship, then maybe, just maybe, our letters can too. Thank you."
el655_8,"The Visionary Who’s Changing Our World 

Tommy 

Good afternoon, everyone. My name is Tommy. Today I want to talk about someone who inspires me a lot — Elon Musk.

Have you ever dreamed of living on another planet? Or riding in a car that drives itself? Well, Elon Musk is making those dreams come true.

Elon Musk was born in South Africa and from a young age, he showed a passion for technology. He even taught himself to code when he was just 12 years old!

One of his biggest achievements was with Tesla, a company that made electric cars popular and helped reduce pollution. Tesla also pioneered self-driving technology. 

In addition to Tesla, Elon Musk also achieved great success with SpaceX, which made space travel cheaper by inventing the first reusable rocket. Thanks to SpaceX, humans might one day live on Mars!

However, what truly stands out about Musk is his determination. He failed countless times but never gave up.  He showed us that with hard work and self-belief, even the wildest dreams can come true.

Elon Musk inspires me to dream big, take risks, and never give up. I hope we all find the courage to pursue our dreams and make a difference in the world.

Thank you!",72.13714341673598,1421.0242788378976,1407.0873236371465,970.0855964623388,1608.4962156306683,9,8,5,0,"The Visionary Who’s Changing Our World 

Tommy 

Good afternoon, everyone. My name is Tommy. Today I want to talk about someone who inspires me a lot — Elon Musk.

Have you ever dreamed of living on another planet? Or riding in a car that drives itself? Well, Elon Musk is making those dreams come true.

Elon Musk was born in South Africa and from a young age, he showed a passion for technology. He even taught himself to code when he was just 12 years old!

One of his biggest achievements was with Tesla, a company that made electric cars popular and helped reduce pollution. Tesla also pioneered self-driving technology. 

In addition to Tesla, Elon Musk also achieved great success with SpaceX, which made space travel cheaper by inventing the first reusable rocket. Thanks to SpaceX, humans might one day live on Mars!

However, what truly stands out about Musk is his determination. He failed countless times but never gave up.  He showed us that with hard work and self-belief, even the wildest dreams can come true.

Elon Musk inspires me to dream big, take risks, and never give up. I hope we all find the courage to pursue our dreams and make a difference in the world.

Thank you!",LOW,20,el610_8,0.233326256457768,86.89548303004187,81.89,83.55882352941177,84.1147688531512,77.0521576674836,81.89,83.625,80.85571922249453,"Good afternoon everyone, my name is Tomy. Today, I want to talk about someone who inspires me a lot, Elon Musk. Have you ever dreamt of living on another planet riding in a car that drives itself? Well, Elon Musk is making those dreams come true. Elon Musk was born in South Africa and from a young age, he showed a passion for technology. He even taught himself to cook when he was just 12 years old. One of his biggest achievements was with 테슬라, a company that made electric cars popular and helped to use pollution. 테슬라 also found new sales driving technology. In addition to 테슬라, Elon must also achieve great success with SpaceX, which made space travel cheaper by inventing the first three useable rockets. Thanks to spacex, humans might one day live on Mars. however, what truly stands out about Musk is its determination. It failed 10,000 times but never gave up. It showed its hard work and still believes, even the widest dreams can come true. Elon Musk inspired me to dream it, take rest and never give up. I hope we all find the courage to pursue our dreams. I make a difference in the world. Thank you."
el659_8,"Kid Entrepreneurs


Hey there, future leaders! Have you ever dreamed of turning your ideas into something amazing? Maybe you’ve thought about starting a fun YouTube channel or even selling the best chocolate in town. Guess what? You can start right now! Today, I’m going to tell you how we, as kids, can turn our ideas into reality and become the next generation of awesome entrepreneurs.

 
I read about a kid called Ryan Hickman last year. When he was just 3 years old, he discovered his love for recycling on a trip to a recycling center with his dad. By age 7, he had started his own company, Ryan’s Recycling, and has since recycled over 1.6 million cans and bottles. Ryan also spoke at schools and started a nonprofit called Project3R. He believes that with support, kids can make a big difference by taking action.

 
Inspired by Ryan, I decided to start my own business. I’ve always loved drawing animals, so I thought, “What if I turned my drawings into stickers?” With my mom’s help, I made them into real stickers and started selling them on her Instagram. It was so exciting to see people actually buying my art! Even though it was a small start, I was proud to take the first step in starting my own business.

 
So, what’s stopping us? We don’t have to wait until we’re older to start making a difference. We can start right now! Whether it’s a big idea or a small one, each step brings us closer to our dreams. Let’s be brave, let’s be creative, and let’s become the kid entrepreneurs who shape the future! Thank you.",71.24484608609528,1511.170299506991,1315.2798096611584,893.6855605650089,1533.840519879722,10,9,5,0,"Kid Entrepreneurs


Hey there, future leaders! Have you ever dreamed of turning your ideas into something amazing? Maybe you’ve thought about starting a fun YouTube channel or even selling the best chocolate in town. Guess what? You can start right now! Today, I’m going to tell you how we, as kids, can turn our ideas into reality and become the next generation of awesome entrepreneurs.

 
I read about a kid called Ryan Hickman last year. When he was just 3 years old, he discovered his love for recycling on a trip to a recycling center with his dad. By age 7, he had started his own company, Ryan’s Recycling, and has since recycled over 1.6 million cans and bottles. Ryan also spoke at schools and started a nonprofit called Project3R. He believes that with support, kids can make a big difference by taking action.

 
Inspired by Ryan, I decided to start my own business. I’ve always loved drawing animals, so I thought, “What if I turned my drawings into stickers?” With my mom’s help, I made them into real stickers and started selling them on her Instagram. It was so exciting to see people actually buying my art! Even though it was a small start, I was proud to take the first step in starting my own business.

 
So, what’s stopping us? We don’t have to wait until we’re older to start making a difference. We can start right now! Whether it’s a big idea or a small one, each step brings us closer to our dreams. Let’s be brave, let’s be creative, and let’s become the kid entrepreneurs who shape the future! Thank you.",LOW,40,el610_8,0.2093521157751406,88.6371343229172,95.04,85.11875,89.59862810763907,66.78390920268988,95.04,78.75750000000001,80.1938030675633,"Hey, there are future leaders. Have you ever turned your ideas into something amazing? Maybe you thought about starting a fun 유튜브 채널 or even selling the best 초콜릿 and 향. Guess what? You can start right now. Today, I'm going to tell you how we, as kids, can turn our ideas into reality and become the next-generation of awesome entrepreneur. I read about a kid called Ryan Huey last year. When he was 3 years old, he discovered his love for recycling. On a trip to the recycling center with his dad, by age 7, he started his own company, Ryan's recycling, and Hanson's recycling over 1.6 million cans and bottles. Ryan also spoke at school and started a non-profit called products we are. He believes that would support kids coming a big difference by taking action. So what's helping us? We don't have to wait until we're older to start making a difference. We can start right now. whether it's a big idea or a small one, it stepens us closer to our dreams. Let's be brave, let's be creative, and let's become the kind of entrepreneur who shapes the future. Thank you!"
el620_9,"Hello, My name is Rebecca. Today I'll talk about the importance of reading. As I read a lot of books for a while, I could feel the various effects of reading. I'd like to share three main things among them.
First, reading books can develop our linguistic skills. Just a year ago, I didn't enjoy reading. As I had difficulties in areas such as grammar and reading, I started to read books. And as a result, I was able to make up for what I lacked and my writing ability improved.
Second, reading helps us to improve our concentration. Paying attention to the story to follow along helps our brain stay focused for longer periods of time. The more we practice reading, the better we get at focusing on other things, like schoolwork or even sports.
Lastly, reading allows us to have broader knowledge. When we read books in various fields, we can discover new facts that we didn't learn at school. The more you read, the more knowledge you gain. It makes it easier to have fun conversation with classmates.
Reading is a good daily habit! Even a few pages of reading can help us focus better, learn more, and become smarter.
Thank you!",69.36927979062627,1367.2201074633756,1392.7076976663052,1140.9746963957243,1599.3387096964495,9,8,5,1,"Hello, My name is Rebecca. Today I'll talk about the importance of reading. As I read a lot of books for a while, I could feel the various effects of reading. I'd like to share three main things among them.
First, reading books can develop our linguistic skills. Just a year ago, I didn't enjoy reading. As I had difficulties in areas such as grammar and reading, I started to read books. And as a result, I was able to make up for what I lacked and my writing ability improved.
Second, reading helps us to improve our concentration. Paying attention to the story to follow along helps our brain stay focused for longer periods of time. The more we practice reading, the better we get at focusing on other things, like schoolwork or even sports.
Lastly, reading allows us to have broader knowledge. When we read books in various fields, we can discover new facts that we didn't learn at school. The more you read, the more knowledge you gain. It makes it easier to have fun conversation with classmates.
Reading is a good daily habit! Even a few pages of reading can help us focus better, learn more, and become smarter.
Thank you!",LOW,0,el572_9,0.4944806315082162,92.3888685834958,94.22,88.31666666666666,91.64184508338748,94.18619281045753,94.22,88.59615384615384,92.3341155522038,"Hello, my name is Rebecca. Today, I'll talk about the importance of reading. As I read a lot of books for a while, I could feel the various effects of reading. I'd like to share 3 main things among them. First, reading books can develop our linguistic skills. Just a year ago, I didn't enjoy reading. As I had difficulty in areas such as grammar and reading, I started to read books. And as a result, I was able to make up for what I lack and my writing ability improved. second, reading helps us to improve our concentration. paying attention to the story to follow along helps our brain stay focused for longer periods of time. The more we practice reading, the better we get at focusing on other things like schoolwork or even sports. Lastly, reading allows us to have better knowledge. When we read books in various field, we can discover new fact that we didn't learn at school. The more you read, the more knowledge you get. It makes it easier to have fun conversations with classmates. Reading is a good daily habit. Even a few pages of reading can help us focus better, learn more, and become smarter. Thank you!"
el728_7,"Amazing Bowl of Bibimbap

Hello, my name is Seulah Kim. What’s your favorite Korean food? Galbi? Gimbap? Today, I want to tell you about my favorite food, bibimbap.
  
Bibimbap is a Korean dish with rice, vegetables,     egg, and meat. You mix everything with red pepper paste.

Why do I like bibimbap? I have three reasons. First, it has beautiful colors: orange carrots, yellow and  green zucchini, and brown meat. It’s like a rainbow in my bowl! 

Second, bibimbap has many different ingredients.  It’s the perfect food for the diverse culture of          Korea. For example, I go to school with students     from Japan, China, and the US. They make my        school life fun and exciting. The different                   ingredients do the same for bibimbap. 

Finally, bibimbap is delicious. Chef’s kiss! The         different flavors come together to make one           amazing taste. 

Wow, I’m really hungry now. Do you want to have   some bibimbap with me? Thank you very much. 
",66.1222243133682,1446.032790166314,1247.739142000408,1102.254511351161,1689.4668018251489,9,8,5,0,"Amazing Bowl of Bibimbap

Hello, my name is Seulah Kim. What’s your favorite Korean food? Galbi? Gimbap? Today, I want to tell you about my favorite food, bibimbap.
  
Bibimbap is a Korean dish with rice, vegetables,     egg, and meat. You mix everything with red pepper paste.

Why do I like bibimbap? I have three reasons. First, it has beautiful colors: orange carrots, yellow and  green zucchini, and brown meat. It’s like a rainbow in my bowl! 

Second, bibimbap has many different ingredients.  It’s the perfect food for the diverse culture of          Korea. For example, I go to school with students     from Japan, China, and the US. They make my        school life fun and exciting. The different                   ingredients do the same for bibimbap. 

Finally, bibimbap is delicious. Chef’s kiss! The         different flavors come together to make one           amazing taste. 

Wow, I’m really hungry now. Do you want to have   some bibimbap with me? Thank you very much. 
",LOW,20,el491_9,0.1827072285871082,89.5827326839827,97.44,84.925,90.64924422799425,85.58204322132895,97.44,85.44285714285714,89.48830012139535,"Hello, my name is Sarah, what's your favorite Korean food? 갈비 김밥, today I want to tell you about my favorite food 비빔밥. Pip'n'Pops is a Korean dish with fries, vegetables, egg and meat. You mix everything with red pepper past. Why do I like Pip'n'Pops? I have 3 reasons. First, it has beautiful colors. Orange carrots, yellow and green zucchini and brown meat. It's like a rainbow in my bowl. second, 비빔밥 has many different ingredients. It's the perfect food for the diverse culture of Korea. For example, I go to school and study from Japan, China and the U.S. They make my school life fun and exciting. The different ingredients do the same for 비빔밥. Finally, 비빔밥 is delicious. Chef kids! The different flavors come together to make one amazing taste. Wow, I'm really hungry now. Do you want to have some 비빔밥 with me? Thank you very much."
el412_7,"Magic is All Around Us! 

Hi, everyone! I'm Stella and today I want to tell you about my most favorite thing ever. Magic! 

Magic is like a supper cool trick that makes you go, ""Wow!"" It's like when you see a rabbit appear out of thin air, or when colorful ribbons fly around like they're dancing. 

You know what's the best part? Magic is all around us. It's in the stars that shine so bright at night, in the rainbows after the rain, and in the giggles of my friends when we play together. 
Magic fills our hearts with joy and happiness, like a warm hug from a unicorn!

And guess what. We can do magic, too!
With our imagination, we can become brave wizards and create our own magical adventures. 
We can ride on the back of flying dragons and explore enchanted castles!

So, let's believe in the magic all around us. 
Let's see the world with wonders and let our imagination soar high like a magical kite. 

Let's make magic every day by being kind and spreading love like a sprinkle of magic. 
Let's make this world a magical place for everyone.
 
Thank you for listening to my speech. 
I hope it made you feel the magic in your heart too!",66.0559370802589,1513.8316130011074,1212.050966820269,961.4578256809112,1496.7010458170043,10,8,5,0,"Magic is All Around Us! 

Hi, everyone! I'm Stella and today I want to tell you about my most favorite thing ever. Magic! 

Magic is like a supper cool trick that makes you go, ""Wow!"" It's like when you see a rabbit appear out of thin air, or when colorful ribbons fly around like they're dancing. 

You know what's the best part? Magic is all around us. It's in the stars that shine so bright at night, in the rainbows after the rain, and in the giggles of my friends when we play together. 
Magic fills our hearts with joy and happiness, like a warm hug from a unicorn!

And guess what. We can do magic, too!
With our imagination, we can become brave wizards and create our own magical adventures. 
We can ride on the back of flying dragons and explore enchanted castles!

So, let's believe in the magic all around us. 
Let's see the world with wonders and let our imagination soar high like a magical kite. 

Let's make magic every day by being kind and spreading love like a sprinkle of magic. 
Let's make this world a magical place for everyone.
 
Thank you for listening to my speech. 
I hope it made you feel the magic in your heart too!",LOW,60,el690_7,0.4516585208382728,94.11626350256002,95.24,87.44210526315791,92.26612292190596,94.52145969498912,95.24,87.79117647058823,92.5175453885258,"Magic is all around us. Hi everyone, I'm Stella, and today, I want to tell you about my most favorite thing ever. Magic. Magic is like a 슬퍼 코치 that makes you go well. It's like when you see a rabbit up here at the same air, or when call for ribbons fly around like they're dancing. You know what's the best part? Magic is all around us. It's in the stars that shine so bright at night? In the rainboards after the rain and the beagles of my friends when we play together magic, those are hearts with joy and happiness like a warm hug from a unicorn. And guess what? We can do magic too! With our imagination, we can become brave wiz and create our own magical adventures. We can ride on the back of flying dragons and explore enchanted castles. So, let's believe in magic all around us. Let's see the world with wonder and let our imagination soar high like a magical kite. Let's make magic every day by being kind and spreading love like a sprinkle of magic. Let's make this world a magical place for everyone. Thank you for listening to my speech. I hope it makes you feel the magic in your heart too."
